siren,siret,denominationUniteLegale,denominationUsuelle1UniteLegale,activitePrincipaleUniteLegale,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,indiceRepetitionDernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,libellePaysEtranger2Etablissement,etatAdministratifEtablissement,enseigne1Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,Adresse pr‚cise
424097897,42409789700062,,,62.01Z,,29,,,,RUE,SAINT JOSEPH,24540,MONPAZIER,,,24280,,,,,242800055_B,533207.3308197611,6400295.691170995,,A,XP-INTERNET.COM,,62.01Z,29 RUE SAINT JOSEPH 24540 MONPAZIER
433668613,43366861300030,,,62.01Z,,,,,,,LE BOURG NORD,24220,COUX ET BIGAROQUE-MOUZENS,,,24142,,,,,,,,,A,,DF-INFO,62.01Z, LE BOURG NORD 24220 COUX ET BIGAROQUE-MOUZENS
434069092,43406909200014,,,62.01Z,MAZIERAS,127,,,,ROUTE,DU CLEDIER,24470,SAINT-SAUD-LACOUSSIERE,,,24498,,,,,244980590_B,528682.0,6497096.63,,A,,,62.01Z,MAZIERAS 127 ROUTE DU CLEDIER 24470 SAINT-SAUD-LACOUSSIERE
434224820,43422482000010,,MEDIAS-CONSEILS,62.01Z,,,,,,LD,CARRIERES,24130,EYRAUD-CREMPSE-MAURENS,,,24259,,,,,,,,,A,MEDIAS-CONSEILS,,62.01Z, LD CARRIERES 24130 EYRAUD-CREMPSE-MAURENS
439496175,43949617500043,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],GRAND-BRASSAC,,[ND],24200,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, GRAND-BRASSAC
442687083,44268708300042,ID CLIC,ID-CLIC,62.01Z,,4,,,,IMPASSE,BEAUSEJOUR,24210,LA BACHELLERIE,,,24020,,,,,240200019_B,555480.1860724285,6451095.810630656,,A,,,62.01Z,4 IMPASSE BEAUSEJOUR 24210 LA BACHELLERIE
443005285,44300528500061,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],BEAUPOUYET,,[ND],24029,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, BEAUPOUYET
447981416,44798141600038,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],SAINT-ASTIER,,[ND],24372,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, SAINT-ASTIER
448068593,44806859300020,,,62.01Z,MOULIN NEUF,,,,,,MOULIN DE SAINT PIERRE,24380,FOULEIX,,,24190,,,,,,,,,A,,,62.01Z,MOULIN NEUF  MOULIN DE SAINT PIERRE 24380 FOULEIX
448213579,44821357900031,[ND],[ND],62.02A,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],PORT-SAINTE-FOY-ET-PONCHAPT,,[ND],24335,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, PORT-SAINTE-FOY-ET-PONCHAPT
448569699,44856969900029,,,62.01Z,,733,,,,,LDT LE TALLET,24580,ROUFFIGNAC-ST-CERNIN-DE-REILHAC,,,24356,,,,,,,,,A,,,62.01Z,733 LDT LE TALLET 24580 ROUFFIGNAC-ST-CERNIN-DE-REILHAC
448799619,44879961900037,,,62.01Z,BERNICOT,3265,,,,ROUTE,DES CHARMILLES,24700,SAINT-BARTHELEMY-DE-BELLEGARDE,,,24380,,,,,243800180_B,479602.6185480532,6448906.87938677,,A,,KISSLOG,62.01Z,BERNICOT 3265 ROUTE DES CHARMILLES 24700 SAINT-BARTHELEMY-DE-BELLEGARDE
448851535,44885153500022,,,62.01Z,,,,,,,BRY,24600,ST SULPICE DE ROUMAGNAC,,,24504,,,,,24504B014_C,,,,A,,,62.01Z, BRY 24600 ST SULPICE DE ROUMAGNAC
451084412,45108441200068,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],LALINDE,,[ND],24223,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, LALINDE
452210131,45221013100028,,,62.01Z,,3,,,,IMPASSE,EMMANUEL CHABRIER,24100,BERGERAC,,,24037,,,,,240371665_B,502008.4822998551,6421367.745409472,,A,,TALES FROM THE BASEMENT,62.01Z,3 IMPASSE EMMANUEL CHABRIER 24100 BERGERAC
452506009,45250600900037,,,62.01Z,,4,,,,RUE,DE BELZUNCE,24130,LA FORCE,,,24222,,,,,242220015_B,492594.21,6422167.04,,A,,ZIOMM,62.01Z,4 RUE DE BELZUNCE 24130 LA FORCE
477697825,47769782500016,SIRANO-RESEAU DU BERGERACOIS,,62.01Z,,18,,,,RUE,DU PROFESSEUR CALMETTE,24100,BERGERAC,,,24037,,,,,240373855_C,,,,A,,,62.01Z,18 RUE DU PROFESSEUR CALMETTE 24100 BERGERAC
477705768,47770576800083,,,62.01Z,,,,,,,LE BOURG,24450,ST-PIERRE-DE-FRUGIE,,,24486,,,,,24486B070_C,,,,A,,,62.01Z, LE BOURG 24450 ST-PIERRE-DE-FRUGIE
482222825,48222282500028,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],CAMPAGNE,,[ND],24076,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, CAMPAGNE
482232345,48223234500041,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],SANILHAC,,[ND],24312,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, SANILHAC
482277431,48227743100045,,DIGITAL CREATION,62.01Z,,,,,,,RTE DE PERIGUEUX,24460,AGONAC,,,24002,,,,,,,,,A,DIGITAL CREATION,,62.01Z, RTE DE PERIGUEUX 24460 AGONAC
483492872,48349287200047,,,62.01Z,,,,,,PLACE,Dƒ??ARMES,24290,MONTIGNAC-LASCAUX,,,24291,,,,,242910025_B,555474.238093676,6442471.774208451,,A,,,62.01Z, PLACE Dƒ??ARMES 24290 MONTIGNAC-LASCAUX
484226535,48422653500033,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],GROLEJAC,,[ND],24207,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, GROLEJAC
484718044,48471804400031,,,62.01Z,,191,,,,ROUTE,DES VERGNES,24200,SAINT-ANDRE-D'ALLAS,,,24366,,,,,243660585_B,555913.3609972501,6423388.288915489,,A,,,62.01Z,191 ROUTE DES VERGNES 24200 SAINT-ANDRE-D'ALLAS
484892567,48489256700021,,,62.01Z,,371,,,,RTE,DE SUDRAT,24380,SANILHAC,,,24312,,,,,,,,,A,,TOOLTY,62.01Z,371 RTE DE SUDRAT 24380 SANILHAC
488361460,48836146000048,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],SAINT-JORY-LAS-BLOUX,,[ND],24429,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, SAINT-JORY-LAS-BLOUX
488916628,48891662800057,,,62.01Z,,2,,,,RUE,DES HLM,24550,VILLEFRANCHE-DU-PERIGORD,,,24585,,,,,2458584ie_B,547204.08,6394202.95,,A,CAMPING PAS CHER,CAMPING PAS CHER,62.01Z,2 RUE DES HLM 24550 VILLEFRANCHE-DU-PERIGORD
490094737,49009473700031,[ND],[ND],68.20A,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],BASSILLAC ET AUBEROCHE,,[ND],24026,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, BASSILLAC ET AUBEROCHE
490371614,49037161400028,,,62.01Z,,2124,,,,ROUTE,DU BANDIAT,24360,VARAIGNES,,,24565,,,,,245650110_B,506933.11,6501862.05,,A,,,62.01Z,2124 ROUTE DU BANDIAT 24360 VARAIGNES
491080396,49108039600014,,,62.01Z,,,,,,LIEU DIT,Lƒ??HEPITAL,24270,ANGOISSE,,,24008,,,,,240082y9ciw_B,554725.7381325895,6482879.833460188,,A,,,62.01Z, LIEU DIT Lƒ??HEPITAL 24270 ANGOISSE
491852489,49185248900054,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],NONTRON,,[ND],24311,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, NONTRON
492742846,49274284600024,CODE COMPTA,CODE COMPTA,62.01Z,,4,,,,IMPASSE,DE LA LIDOIRE,24230,LAMOTHE-MONTRAVEL,,,24226,,,,,242260186_B,463074.0666566808,6423165.796426261,,A,,,62.01Z,4 IMPASSE DE LA LIDOIRE 24230 LAMOTHE-MONTRAVEL
493678551,49367855100042,,,62.01Z,,112,,,,RUE,DU CHEMIN CREUX,24270,PAYZAC,,,24320,,,,,2432002ck_B,559117.24,6485666.54,,A,,,62.01Z,112 RUE DU CHEMIN CREUX 24270 PAYZAC
498115427,49811542700029,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],VEYRINES-DE-DOMME,,[ND],24575,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, VEYRINES-DE-DOMME
499078608,49907860800043,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],BERGERAC,,[ND],24037,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, BERGERAC
499562783,49956278300021,,,62.01Z,,45,,,,ROUTE,DES BRUJOUX,24430,COURSAC,,,24139,,,,,241390128_B,516345.3922337841,6448715.467822236,,A,,BLUEFOX DIGITAL,62.01Z,45 ROUTE DES BRUJOUX 24430 COURSAC
500218367,50021836700026,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],PERIGUEUX,,[ND],24322,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, PERIGUEUX
502914310,50291431000037,,,62.01Z,,,,,,,LE MOULIN DE LA BORIE,24140,SAINT JEAN D'ESTISSAC,,,24426,,,,,,,,,A,,,62.01Z, LE MOULIN DE LA BORIE 24140 SAINT JEAN D'ESTISSAC
504194606,50419460600035,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],NADAILLAC,,[ND],24301,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, NADAILLAC
509936696,50993669600012,,,62.01Z,,,,,,,PECHALY,24560,MONMARVES,,,24279,,,,,24279B012_C,,,,A,,,62.01Z, PECHALY 24560 MONMARVES
510209539,51020953900012,,,62.01Z,,,,,,LD,PUYBEGOUT,24300,AUGIGNAC,,,24016,,,,,,,,,A,,,62.01Z, LD PUYBEGOUT 24300 AUGIGNAC
510589724,51058972400036,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],COULOUNIEIX-CHAMIERS,,[ND],24138,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, COULOUNIEIX-CHAMIERS
510675309,51067530900023,,,62.01Z,,,,,,,LABADIE,24560,COLOMBIER,,,24126,,,,,24126B029_C,,,,A,,,62.01Z, LABADIE 24560 COLOMBIER
511306789,51130678900013,LADAUZE,LADAUZE,62.01Z,,,,,,PL,PIERRE-JEAN DANIEL,24350,MONTAGRIER,,,24286,,,,,,,,,A,,,62.01Z, PL PIERRE-JEAN DANIEL 24350 MONTAGRIER
511358921,51135892100027,,,62.01Z,,,,,,,PARISOT,24480,LE BUISSON-DE-CADOUIN,,,24068,,,,,24068B082_C,,,,A,,,62.01Z, PARISOT 24480 LE BUISSON-DE-CADOUIN
511822157,51182215700026,,,62.02B,,21,,,,RUE,DE L'ORMEAU DU PONT,24540,MONPAZIER,,,24280,,,,,242800035_B,533277.1066133346,6400159.380826926,,A,,,62.01Z,21 RUE DE L'ORMEAU DU PONT 24540 MONPAZIER
512325382,51232538200020,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],EGLISE-NEUVE-DE-VERGT,,[ND],24160,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, EGLISE-NEUVE-DE-VERGT
512552779,51255277900039,,,62.01Z,,38,,,,AVENUE,DE RHINAU,24440,BEAUMONTOIS EN PERIGORD,,,24028,,,,,240280092_B,523303.65,6410558.43,,A,,,62.01Z,38 AVENUE DE RHINAU 24440 BEAUMONTOIS EN PERIGORD
512564527,51256452700020,,,62.01Z,,1657,,,,ROUTE,DES CHARMILLES,24700,SAINT-BARTHELEMY-DE-BELLEGARDE,,,24380,,,,,243800180_B,479860.4571133517,6447500.024079378,,A,,,62.01Z,1657 ROUTE DES CHARMILLES 24700 SAINT-BARTHELEMY-DE-BELLEGARDE
513271643,51327164300019,,,62.01Z,,,,,,,LE COMBALOU,24190,NEUVIC,,,24309,,,,,24309B054_C,,,,A,,,62.01Z, LE COMBALOU 24190 NEUVIC
513750307,51375030700037,,,62.01Z,,1,,,,RUE,DR DAUDE LAGRAVE,24520,MOULEYDIER,,,24296,,,,,242960006_B,509978.919240599,6420209.299084348,,A,,,62.01Z,1 RUE DR DAUDE LAGRAVE 24520 MOULEYDIER
514285592,51428559200036,,,62.01Z,,29,,,,RUE,JACQUES PREVERT,24330,BOULAZAC ISLE MANOIRE,,,24053,,,,,,,,,A,,,62.01Z,29 RUE JACQUES PREVERT 24330 BOULAZAC ISLE MANOIRE
514846575,51484657500058,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],PIEGUT-PLUVIERS,,[ND],24328,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, PIEGUT-PLUVIERS
514881382,51488138200014,,,62.01Z,,,,,,LD,LES PORTES,24150,PRESSIGNAC-VICQ,,,24338,,,,,,,,,A,,,62.01Z, LD LES PORTES 24150 PRESSIGNAC-VICQ
515235919,51523591900013,,,62.01Z,,14,,,,,HLM LES MOLLES,24220,SAINT-CYPRIEN,,,24396,,,,,24396A001_B,545016.7551496613,6420080.999446685,,A,,,62.01Z,14 HLM LES MOLLES 24220 SAINT-CYPRIEN
518161591,51816159100061,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],SAINT-MICHEL-DE-VILLADEIX,,[ND],24468,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, SAINT-MICHEL-DE-VILLADEIX
518222708,51822270800019,,,62.01Z,,,,,,,LA MAURE,24410,PARCOUL-CHENAUD,,,24316,,,,,,,,,A,,,62.01Z, LA MAURE 24410 PARCOUL-CHENAUD
521240465,52124046500026,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],PRIGONRIEUX,,[ND],24340,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, PRIGONRIEUX
521834424,52183442400033,[ND],[ND],90.03A,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],LA COQUILLE,,[ND],24133,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, LA COQUILLE
522292390,52229239000039,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],SAINT-GENIES,,[ND],24412,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, SAINT-GENIES
523604866,52360486600054,,,62.01Z,,20,,,,RUE,DE LA LIBERATION,24360,PIEGUT-PLUVIERS,,,24328,,,,,243280120_B,520073.5,6505142.67,,A,,,62.01Z,20 RUE DE LA LIBERATION 24360 PIEGUT-PLUVIERS
527773303,52777330300039,,,62.01Z,,,,,,LD,LE PETIT GUE,24800,THIVIERS,,,24551,,,,,,,,,A,,NJM RADIO / FREQUENCE AVENIR / FREQUENCE AVENIR SHOPPING,62.01Z, LD LE PETIT GUE 24800 THIVIERS
528236300,52823630000034,,,62.01Z,,,,,,,LES CLEDES,24420,SORGES-ET-LIGUEUX-EN-PERIGORD,,,24540,,,,,,,,,A,,,62.01Z, LES CLEDES 24420 SORGES-ET-LIGUEUX-EN-PERIGORD
528841091,52884109100044,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],BERGERAC,,[ND],24037,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, BERGERAC
528885346,52888534600031,COGITIME,,62.01Z,,30,,,,CHEMIN,DU PELOUX,24110,SAINT-LEON-SUR-L'ISLE,,,24442,,,,,244420860_B,502778.83,6450721.15,,A,,,62.01Z,30 CHEMIN DU PELOUX 24110 SAINT-LEON-SUR-L'ISLE
529940439,52994043900027,,,62.01Z,,4,,,,RUE,KLEBER,24000,PERIGUEUX,,,24322,,,,,243222220_B,520329.4269778768,6456786.131030732,,A,,,62.01Z,4 RUE KLEBER 24000 PERIGUEUX
531056125,53105612500036,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],SAINT SULPICE D'EXCIDEUIL,,[ND],24505,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, SAINT SULPICE D'EXCIDEUIL
532091576,53209157600019,,,62.01Z,,431,,,,,LES CHAUFFOURS,24120,TERRASSON LAVILLEDIEU,,,24547,,,,,24547B068_C,,,,A,,,62.01Z,431 LES CHAUFFOURS 24120 TERRASSON LAVILLEDIEU
532209921,53220992100032,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],BERGERAC,,[ND],24037,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, BERGERAC
532245628,53224562800047,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],RIBERAC,,[ND],24352,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, RIBERAC
533421467,53342146700028,BEE FLOW,,62.01Z,,37,,,,RUE,DES SECHOIRS,24370,CARLUX,,,24081,,,,,240811260_B,570016.4823977072,6422686.149476866,,A,,BEE FLOW,62.01Z,37 RUE DES SECHOIRS 24370 CARLUX
533712808,53371280800021,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],ST ETIENNE DE PUYCORBIER,,[ND],24399,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, ST ETIENNE DE PUYCORBIER
533928859,53392885900024,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],MOULEYDIER,,[ND],24296,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, MOULEYDIER
534085758,53408575800017,,,62.01Z,,7,,,,RUE,BERTRAND DU GUESCLIN,24000,PERIGUEUX,,,24322,,,,,24322x1ve_B,520590.67386376206,6456384.470686875,,A,CREATION DE SITES INTERNET,CITIZEN CONSULTING,62.01Z,7 RUE BERTRAND DU GUESCLIN 24000 PERIGUEUX
534636519,53463651900017,,,62.01Z,,32,,,,RUE,DE LA LIBERTE,24400,MUSSIDAN,,,24299,,,,,,,,,A,,,62.01Z,32 RUE DE LA LIBERTE 24400 MUSSIDAN
534930755,53493075500036,,,62.01Z,,,,,,,LIEU DIT PANASSAC,24420,COULAURES,,,24137,,,,,,,,,A,,,62.01Z, LIEU DIT PANASSAC 24420 COULAURES
534963590,53496359000045,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],LISLE,,[ND],24243,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, LISLE
538198862,53819886200046,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],JUMILHAC-LE-GRAND,,[ND],24218,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, JUMILHAC-LE-GRAND
538726225,53872622500013,,,62.01Z,,,,,,,LE PORT,24220,BEYNAC-ET-CAZENAC,,,24040,,,,,,,,,A,,,62.01Z, LE PORT 24220 BEYNAC-ET-CAZENAC
539099895,53909989500036,LA BOISIERE,,62.01Z,,1484,,,,ROUTE,DE LA TOURETTE,24370,SAINT-JULIEN-DE-LAMPON,,,24432,,,,,244320920_B,572316.96,6419011.55,,A,,,62.01Z,1484 ROUTE DE LA TOURETTE 24370 SAINT-JULIEN-DE-LAMPON
750771826,75077182600039,SARL ALULA SOFTWARE,,62.01Z,,,,,,ROUTE,DES MARROUX,24520,SAINT-NEXANS,,,24472,,,,,244723kyidl_B,507561.43938246375,6415046.52626391,,A,,,62.01Z, ROUTE DES MARROUX 24520 SAINT-NEXANS
750966434,75096643400011,,,62.01Z,,,,,,,LA CROIX DE JEANGUIS,24210,LIMEYRAT,,,24241,,,,,24241B025_C,,,,A,,AGENCE WEB AQUITAINE,62.01Z, LA CROIX DE JEANGUIS 24210 LIMEYRAT
751169806,75116980600047,,,62.01Z,,,,,,,LIEU DIT GRAND PEY,24350,MENSIGNAC,,,24266,,,,,,,,,A,,,62.01Z, LIEU DIT GRAND PEY 24350 MENSIGNAC
751265182,75126518200012,,,62.01Z,,,,,,,LE TALINOT,24150,VARENNES,,,24566,,,,,,,,,A,,,62.01Z, LE TALINOT 24150 VARENNES
751593492,75159349200067,,,62.01Z,,,,,,CHEMIN,DU PECH HAUT,24150,BADEFOLS-SUR-DORDOGNE,,,24022,,,,,240220500_B,525759.383409469,6417579.670507532,,A,,,62.01Z, CHEMIN DU PECH HAUT 24150 BADEFOLS-SUR-DORDOGNE
752892315,75289231500025,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],LA COQUILLE,,[ND],24133,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, LA COQUILLE
752943308,75294330800045,,,62.01Z,,285,,,,CHEMIN,DE BORD DE COTE,24290,SAINT-LEON-SUR-VEZERE,,,24443,,,,,244430220_B,549506.94,6437298.39,,A,,,62.01Z,285 CHEMIN DE BORD DE COTE 24290 SAINT-LEON-SUR-VEZERE
753752849,75375284900012,,,62.01Z,,,,,,LD,PECHIBRAL,24200,VITRAC,,,24587,,,,,,,,,A,,,62.01Z, LD PECHIBRAL 24200 VITRAC
788635522,78863552200014,,,62.01Z,,8,,,,RUE,DU NORD,24700,LE PIZOU,,,24329,,,,,243290066_B,468644.94655848446,6440452.0328274,,A,,,62.01Z,8 RUE DU NORD 24700 LE PIZOU
790302244,79030224400039,TECHPROG,,62.01Z,MARSANEIX,,,,,,LE POINT DU JOUR,24380,SANILHAC,,,24312,,,,,,,,,A,,,62.01Z,MARSANEIX  LE POINT DU JOUR 24380 SANILHAC
790445985,79044598500050,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],CHAMPNIERS-ET-REILHAC,,[ND],24100,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, CHAMPNIERS-ET-REILHAC
790727028,79072702800066,[ND],[ND],62.01Z,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],VERTEILLAC,,[ND],24573,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],62.01Z, VERTEILLAC
790966642,79096664200023,,,62.01Z,LES ANDRIEUX,,,,,ROUTE,DU PLATEAU,24500,EYMET,,,24167,,,,,241671370_B,495778.13941689185,6400347.329990467,,A,,,62.01Z,LES ANDRIEUX  ROUTE DU PLATEAU 24500 EYMET
791690555,79169055500036,,,62.01Z,,,,,,,LE CASTENET,24380,SAINT MICHEL DE VILLADEIX,,,24468,,,,,24468B008_C,,,,A,,,62.01Z, LE CASTENET 24380 SAINT MICHEL DE VILLADEIX
